tradition,outcome,cutoff,n,level_change,level_change_se,level_change_p,slope_change,slope_change_se,slope_change_p,r2,label,rupture_label
catholic,fk_grade,1965,222,-2.1282,0.867,0.0141,-0.0028,0.0235,0.9046,0.0941,,
catholic,flesch_ease,1965,222,5.3195,2.9692,0.0732,-0.0466,0.105,0.657,0.0501,,
catholic,type_token_ratio,1965,222,-0.0585,0.0359,0.1033,-0.0014,0.0009,0.1237,0.2655,,
catholic,avg_sentence_length,1965,222,-5.5835,2.1431,0.0092,-0.0374,0.0506,0.4602,0.11,,
catholic,hedge_rate,1965,222,-0.0012,0.001,0.222,-0.0,0.0,0.1832,0.0676,,
catholic,fp_plural_rate,1965,222,-0.008,0.004,0.0465,0.0002,0.0001,0.2285,0.0582,,
catholic,theol_juridical_rate,1965,222,0.001,0.001,0.3466,0.0,0.0,0.9959,0.1039,,
catholic,theol_pastoral_rate,1965,222,0.0005,0.0009,0.5803,0.0,0.0,0.8374,0.1124,,
catholic,theol_ecumenical_rate,1965,222,-0.001,0.0008,0.2258,0.0,0.0,0.7129,0.0484,,
catholic,theol_modern_world_rate,1965,222,0.0015,0.0014,0.2697,-0.0,0.0,0.8115,0.2044,,
catholic,cosine_sim_to_prev,1965,221,0.0953,0.039,0.0145,0.0006,0.0013,0.613,0.1677,,
catholic,fk_grade,1903,222,4.0085,0.6656,0.0,0.1225,0.0457,0.0074,0.1825,vatican_i_era,
catholic,flesch_ease,1903,222,-7.4698,2.1248,0.0004,-0.2224,0.1241,0.0731,0.0821,vatican_i_era,
catholic,type_token_ratio,1903,222,-0.0481,0.0233,0.0395,-0.0052,0.0013,0.0001,0.2602,vatican_i_era,
catholic,avg_sentence_length,1903,222,11.9459,1.7214,0.0,0.3684,0.1222,0.0026,0.2257,vatican_i_era,
catholic,hedge_rate,1903,222,0.0013,0.0005,0.0105,0.0,0.0,0.119,0.029,vatican_i_era,
catholic,fp_plural_rate,1903,222,-0.0055,0.0025,0.0304,-0.0004,0.0002,0.0126,0.067,vatican_i_era,
catholic,theol_juridical_rate,1903,222,0.0009,0.001,0.3404,0.0001,0.0001,0.4142,0.1048,vatican_i_era,
catholic,theol_pastoral_rate,1903,222,-0.0008,0.0004,0.0772,-0.0,0.0,0.7741,0.1267,vatican_i_era,
catholic,theol_ecumenical_rate,1903,222,0.0009,0.0005,0.1043,0.0,0.0,0.2041,0.0502,vatican_i_era,
catholic,theol_modern_world_rate,1903,222,0.0003,0.0006,0.5799,0.0,0.0,0.2077,0.1945,vatican_i_era,
catholic,cosine_sim_to_prev,1903,221,0.0325,0.0264,0.2187,0.0069,0.0018,0.0002,0.186,vatican_i_era,
catholic,fk_grade,1965,222,-2.1282,0.867,0.0141,-0.0028,0.0235,0.9046,0.0941,,catholic
catholic,avg_sentence_length,1965,222,-5.5835,2.1431,0.0092,-0.0374,0.0506,0.4602,0.11,,catholic
catholic,type_token_ratio,1965,222,-0.0585,0.0359,0.1033,-0.0014,0.0009,0.1237,0.2655,,catholic
catholic,cosine_sim_to_prev,1965,221,0.0953,0.039,0.0145,0.0006,0.0013,0.613,0.1677,,catholic
catholic,theol_pastoral_rate,1965,222,0.0005,0.0009,0.5803,0.0,0.0,0.8374,0.1124,,catholic
catholic,theol_juridical_rate,1965,222,0.001,0.001,0.3466,0.0,0.0,0.9959,0.1039,,catholic
anglican,fk_grade,1976,14,-3.5228,3.9639,0.3742,-0.0633,0.1919,0.7414,0.5711,,anglican
anglican,avg_sentence_length,1976,14,-11.3101,6.8158,0.097,0.0145,0.2239,0.9484,0.5847,,anglican
anglican,type_token_ratio,1976,14,-0.0123,0.1548,0.9365,0.0081,0.0101,0.42,0.7025,,anglican
anglican,cosine_sim_to_prev,1976,13,-0.0343,0.2064,0.8682,-0.0178,0.0115,0.1237,0.6301,,anglican
anglican,theol_pastoral_rate,1976,14,0.0026,0.0017,0.1295,0.0,0.0001,0.7756,0.7411,,anglican
anglican,theol_juridical_rate,1976,14,0.0012,0.0014,0.397,-0.0,0.0001,0.9973,0.7494,,anglican
sbc,fk_grade,1979,1132,12.2346,4.0397,0.0025,1.865,0.238,0.0,0.3875,,sbc
sbc,avg_sentence_length,1979,1132,28.682,10.3951,0.0058,4.8234,0.6099,0.0,0.3818,,sbc
sbc,type_token_ratio,1979,1132,-0.0616,0.0086,0.0,-0.0007,0.0003,0.0062,0.1712,,sbc
sbc,cosine_sim_to_prev,1979,1131,0.0801,0.0294,0.0064,-0.0012,0.001,0.2168,0.0368,,sbc
sbc,theol_pastoral_rate,1979,1132,0.0008,0.0002,0.0,-0.0,0.0,0.0068,0.0715,,sbc
sbc,theol_juridical_rate,1979,1132,-0.0004,0.0002,0.0932,0.0,0.0,0.1452,0.0016,,sbc
orthodox,fk_grade,1965,27,5.03,19.0047,0.7913,0.0786,0.3716,0.8324,0.0699,,orthodox
orthodox,avg_sentence_length,1965,27,6.2505,55.9786,0.9111,-0.0017,1.0971,0.9988,0.0358,,orthodox
orthodox,type_token_ratio,1965,27,0.0043,0.0346,0.9001,0.0,0.0008,0.9545,0.0821,,orthodox
orthodox,cosine_sim_to_prev,1965,25,0.0162,0.0473,0.7314,0.0103,0.0042,0.0148,0.1821,,orthodox
orthodox,theol_pastoral_rate,1965,27,0.0011,0.0084,0.8919,0.0,0.0002,0.8686,0.1175,,orthodox
orthodox,theol_juridical_rate,1965,27,0.0034,0.0101,0.7329,0.0001,0.0002,0.6624,0.2748,,orthodox
